"","GSM559619","GSM559623","GSM559624","GSM559628","GSM559616","GSM559617","GSM559618","GSM559620","GSM559621","GSM559622","GSM559625","GSM559626","GSM559627","GSM559629","GSM559630","GSM559631","GSM559632","GSM559633","GSM559634","GSM559635"
"DDR1 /// MIR4640",8.612575,6.6255125,7.4712975,7.7396575,11.13085,10.823425,10.661,10.924425,8.788065,11.02785,10.949775,9.5416375,9.6276875,9.0034975,8.9848025,8.1715025,11.121575,10.415175,10.6127,6.8059225
"RFC2",6.757395,6.59626,6.59237,6.198895,8.04251,7.98946,7.183605,7.855655,5.39082,8.25283,6.68487,7.00734,8.07388,6.211825,4.59597,5.034235,7.317655,5.435125,6.851175,4.63232
"HSPA6",6.80897,7.947625,8.169635,6.21392,6.04104,7.16573,5.869765,6.685145,4.357425,6.447305,7.189255,6.386085,6.412445,4.92569,6.12759,4.573455,9.42105,5.879605,6.610055,4.909505
"PAX8",3.0218625,2.863075,2.969585,2.917465,3.1016525,2.9624625,3.04809125,3.02880625,3.37090875,3.32164125,3.3878875,3.56568625,3.258495,3.149645,3.11921375,3.47580125,2.9227875,3.89846375,3.065565,4.26108
"GUCA1A",2.76884,2.59635333333333,2.65864,2.73381,2.75605,2.66814333333333,2.6918,2.60015333333333,2.74569,2.79875333333333,2.84378666666667,3.19721,2.95213333333333,2.79857,2.72042333333333,3.02317333333333,2.80671333333333,2.84394666666667,2.72464333333333,3.16875
"MIR5193 /// UBA7",7.56407,7.508035,8.342205,7.828975,5.253475,7.71139,6.649945,5.34613,7.397415,5.81153,6.660105,5.59394,5.301045,7.959105,8.22407,7.605575,9.93213,6.72371,8.96186,6.18376
"THRA",3.868475,3.9524825,4.7027525,4.79941,3.7508825,4.496785,3.75954,3.248265,4.2722475,3.76194,3.75048,4.1004425,4.069755,3.73161,4.0593725,4.233485,3.9201425,4.4328225,3.94126,4.8428125
"PTPN21",3.877466,4.160758,3.89205,4.336544,3.076332,3.385536,3.793402,3.194086,3.861052,3.062218,3.382486,3.215168,3.417158,3.587594,4.214082,4.359046,4.249248,3.238176,3.099336,3.568058
"CCL5",5.49776333333333,6.48379333333333,6.54102,4.98928666666667,5.37445333333333,7.54509666666667,7.2128,6.56718333333333,5.85487333333333,5.15807666666667,7.10374666666667,4.31089333333333,4.19809666666667,10.1855833333333,6.25524,5.83733,6.60743333333333,5.20393666666667,9.76502666666667,4.87513333333333
"CYP2E1",3.45027,3.36602666666667,3.40280666666667,3.50103666666667,3.29686333333333,3.97326333333333,3.34201333333333,3.32856333333333,3.83798333333333,3.48886666666667,3.35194,3.42218333333333,3.23391333333333,3.37550666666667,4.4317,4.22374333333333,4.46036,5.81675,5.75614666666667,3.65171666666667
"EPHB3",4.54367,3.318745,4.237085,3.393255,9.580975,4.29368,5.94341,5.342775,6.139115,4.9247,3.944905,8.572855,8.444355,4.434075,4.49317,4.61983,4.968795,5.10516,5.09561,5.02925
"ESRRA",6.06956,5.95953,5.945895,5.8389,6.385655,5.912725,6.59379,6.18661,5.92748,5.900145,7.172905,6.105035,5.63112,5.758735,5.574555,5.25298,5.80102,5.495535,5.801725,5.65108
"CYP2A6",3.005905,2.8947975,3.5808525,3.426775,3.0490525,12.881875,2.98401,2.887565,3.12961,2.9276475,3.00648,3.3681025,3.1105025,3.1959825,7.49632,3.166635,2.705665,7.5983675,7.5399,4.2444225
"SCARB1",4.885346,4.831464,6.193826,5.27236,5.066412,4.734788,4.88968,3.76912,4.818246,5.070446,6.3346,6.782204,6.834612,4.194078,3.842836,4.408976,5.164554,4.420804,4.750586,4.348542
"TTLL12",6.686455,6.341775,6.383115,6.22295,7.88539,7.22629,7.652575,7.421275,6.579845,7.986515,7.9383,8.95239,8.80642,6.804305,6.1641,6.18168,8.76551,7.22233,7.536195,4.788105
"LINC00152 /// LOC101930489",3.92485,5.73759,4.03342,5.97346,3.99481,3.98146,4.20899,3.81276,4.06316,4.02267,4.3326,4.59761,4.04333,4.06316,3.91827,4.07737,5.6014,4.42219,4.18126,4.2263
"WFDC2",3.23253333333333,2.70385333333333,3.07136666666667,3.22669666666667,2.80136333333333,4.17397,4.00942,4.72358666666667,4.32601333333333,4.16024333333333,3.31474666666667,3.58610333333333,3.3765,4.48459666666667,4.05866666666667,3.64602333333333,4.80861333333333,5.83334666666667,4.38551333333333,4.01882333333333
"MAPK1",5.77431571428571,5.97949714285714,5.36829,5.60904428571429,5.97228428571429,5.05251714285714,5.69354714285714,5.98410571428571,5.23407285714286,6.30938714285714,5.77707,5.29344285714286,5.60364285714286,5.64081428571429,5.81498571428571,5.40028857142857,5.2653,5.02353428571429,5.38638714285714,4.59915285714286
"ADAM32",2.68016,2.62991,2.67714,2.69625,2.65381,2.58513,2.658,2.56568,2.71633,2.68498,2.72695,2.79898,2.71394,2.71715,2.81194,3.74434,2.60433,2.84122,2.66064,5.09369
